Recognition Number,Name,Legal Name,Acronym,Email,Website,Head Office Address Line 1,Head Office Address Line 2,Head Office Address Town/City,Head Office Address County,Head Office Address Postcode,Head Office Address Country,Head Office Address Telephone Number,Ofqual Status,Ofqual Recognised From,Ofqual Recognised To,CCEA Regulation Status,CCEA Regulation Recognised From,CCEA Regulation Recognised To
"RN6083","JMA Contract Services Ltd","JMA Contract Services Ltd","JMA Contract Services Ltd","michael.allan@jmacontractservices.com","www.jmacontractservices.com","The Bailey ","Cumberland Road","North Shields","Tyne & Wear","NE29 8RD","United Kingdom","0191 2591690","Recognised","2022-05-24 00:00:00.0000000",,"Never been recognised",,
"RN6085","NSAN","National Skills Academy Nuclear","NSAN","enquiries@nsan.co.uk","nsan.co.uk","The Base","Dallam Lane",,"Warrington","WA2 7NG","United Kingdom","01925 909 700","Recognised","2022-05-31 00:00:00.0000000",,"Never been recognised",,
"RN5185","Cambridge English","University of Cambridge (The Chancellor, Masters and Scholars of the University of Cambridge)","Cambridge English","policy@cambridgeenglish.org","http://www.cambridgeenglish.org","Cambridge English","The Triangle Building","Shaftesbury Avenue","Cambridge","CB2 8EA","United Kingdom","01223 558888","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"XX1303","Offshore Petroleum Industry NTO","Offshore Petroleum Industry NTO","OPITO","","http://www.ofqual.gov.uk/",,,,,,,,"Withdrawn","2010-10-28 00:00:00.0000000","2010-10-28 00:00:00.0000000","Never been recognised",,
"RN6053","BPS Assessments and Awards Limited","BPS Assessments and Awards Limited","BPSAA EPA","epa@bps.org.uk","https://www.bps.org.uk/","St Andrews House,","48 Princess Road East",,"Leicester","LE1 7DR","United Kingdom","0116 254 9568","Recognised","2021-11-29 00:00:00.0000000",,"Never been recognised",,
"RN6051","The Chartered Institution of Building Services Engineers","The Chartered Institution of Building Services Engineers","CIBSE","lwebb@cibse.org","www.cibse.org","222 Balham High Road",,,"London","SW12 9BS","United Kingdom","020 8772 3601","Recognised","2021-11-25 00:00:00.0000000",,"Never been recognised",,
"RN6000","SafeCert Awards","SafeCert Awards Ltd","SafeCert","Paul@safecertawards.com","http://www.safecertawards.com","38 Main Street","Gortin",,,"BT79 8PH","United Kingdom","0845 500 2 100","Never been recognised",,,"Recognised","2016-05-25 00:00:00.0000000",
"RN5142","Chartered Institute of Legal Executives","The Chartered Institute of Legal Executives","CILEx","amanda.pipe@cilex.org.uk","http://www.cilex.org.uk","Kempston Manor","Kempston ","Bedford","Bedfordshire","MK42 7AB","United Kingdom","01234 841000","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6030","South West Councils","South West Councils","SWC","fay.edwards@swcouncils.gov.uk","www.swcouncils.gov.uk","Dennett House","11 Middle Street",,"Taunton","TA1 1SH","United Kingdom","01823270101","Recognised","2021-03-17 00:00:00.0000000",,"Never been recognised",,
"RN6049","MILITARY INDEPENDENT ASSESSMENT AUTHORITY (ROYAL NAVY)","ROYAL NAVY APPRENTICESHIPS","MIAA (RN)","navypeople-trg-rn-miaa@mod.gov.uk","https://www.royalnavy.mod.uk/careers/levels-of-entry/apprenticeships","MIAA - F-09 RAMSAY BUILDING","HMS COLLINGWOOD","NEWGATE LANE","FAREHAM","PO14 1AS","United Kingdom","07921615022","Recognised","2021-11-25 00:00:00.0000000",,"Never been recognised",,
"RN6101","The Army Catering Training Trust","The Army Catering Training Trust","ACTT","qac@theactt.co.uk","www.theactt.co.uk","The Army Catering Training Trust","CPD Centre, Food Services Training Wing","Alexis Soyer House","Worthy Down","SO21 2RG","United Kingdom","07920006037","Recognised","2022-11-28 00:00:00.0000000",,"Never been recognised",,
"RN6063","Summit Qualifications UK","The British Institute of Recruiters","Summit Qualifications UK","contact@summitqualifications.co.uk","https://summitqualifications.co.uk/","Suite 3, First Floor, Parkway 2","Princess Road",,"Manchester","M14 7LU","United Kingdom","0161 232 0991","Recognised","2022-01-20 00:00:00.0000000",,"Never been recognised",,
"RN6093","Quantum Awards Limited","Quantum Awards Limited","QAL","mark.smith@quantum-awards.com","www.quantum-awards.com","Grafton House","Bull's Head Yard",,"Alcester","B49 5BX","United Kingdom","07447949209","Recognised","2022-08-02 00:00:00.0000000",,"Never been recognised",,
"RN6104","Assessu","Assessed Education Ltd","AEL","epa@assessu.co.uk","www.assessu.co.uk","4 Orchard Place","Nottingham Business Park",,"Nottingham","NG8 6PX","United Kingdom","0115 975 9550","Recognised","2022-12-23 00:00:00.0000000",,"Never been recognised",,
"RN5210","London Centre of Marketing","London Centre of Marketing Ltd","LCM","director@lcmuk.com","www.lcmuk.com","Buckingham House West",,"Stanmore","Greater London","HA74EB","United Kingdom","02083857766","Withdrawn","2010-04-01 00:00:00.0000000","2014-02-03 00:00:00.0000000","Never been recognised",,
"RN5295","Science, Engineering and Manufacturing Technologies Alliance","Science, Engineering and Manufacturing Technologies Alliance","SEMTA (SSC)","info@semta.co.uk","http://www.ofqual.gov.uk/","12 St. Peters Road","Peterborough","","","NW1 0JF","United Kingdom","0131 465 2892","Withdrawn","2010-10-20 00:00:00.0000000","2011-08-05 00:00:00.0000000","Never been recognised",,
"RN5189","Royal Academy of Dance","Royal Academy of Dance","RAD","exams@rad.org.uk","http://www.rad.org.uk","188 York Road",,,"London","SW11 3JZ","United Kingdom","020 7326 8000","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5331","The Institute of Financial Accountants","The Institute of Financial Accountants","IFA","susand@ifa.org.uk","http://www.ifa.org.uk","27-31 Clerkenwell Close","Farringdon","London",,"EC1R 0AT","United Kingdom","020 3567 5836","Surrendered","2011-03-03 00:00:00.0000000","2019-11-27 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2016-06-12 00:00:00.0000000"
"RN5336","Central Qualifications","Central Veterinary Services Limited","CQ","enquiries@cqual.org","http://www.centralqualifications.org","Elmtree Business Park","Elmswell","Bury St Edmunds","Suffolk","IP30 9HR","United Kingdom","01359 245316","Recognised","2011-05-12 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2018-12-11 00:00:00.0000000"
"RN5219","Highfield Qualifications","Highfield Awarding Body for Compliance Limited","Highfield","info@highfieldabc.com","http://www.highfieldqualifications.com","Highfield ICON","First Point, Balby Carr Bank","Doncaster","South Yorkshire","DN4 5JQ","United Kingdom","01302363277","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5249","Prince's Trust","The Prince's Trust","Prince's Trust","qualifications@princes-trust.org.uk","https://www.princes-trust.org.uk/about-the-trust/qualifications","The Prince’s Trust","8 Glade Path","London",,"SE1 8EG","United Kingdom","020 7543 1391","Recognised","2010-08-31 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"XX1333","Royal Institute of Public Health","Royal Institute of Public Health","RIPH","","http://www.ofqual.gov.uk/",,,,,,,,"Withdrawn","2010-10-28 00:00:00.0000000","2010-10-28 00:00:00.0000000","Never been recognised",,
"RN6066","Elite Awarding Limited ","Elite Awarding Limited ","Elite Awarding","paul@eliteawarding.co.uk","www.eliteawarding.co.uk"," Elite Awarding ","Sinclair Accounting Co Ltd, 300 St. Mary's Road","Garston","Liverpool","L19 0NQ ","United Kingdom","01512088034","Recognised","2022-02-23 00:00:00.0000000",,"Never been recognised",,
"RN6072","Steadfast Training Ltd","Steadfast Training Ltd","Steadfast EPA","di.pudney@steadfastepa.co.uk","www.steadfastepa.co.uk","5 Enterprise Way",,,"Spalding","PE11 3YR","United Kingdom","01775 513056","Recognised","2022-03-18 00:00:00.0000000",,"Never been recognised",,
"RN6116","The Society of Master Saddlers (UK) Ltd","The Society of Master Saddlers (UK) Ltd","SMS","ceo@mastersaddlers.co.uk","www.mastersaddlers.co.uk","Green Lane Farm","Stonham",,"STOWMARKET","IP14 5DS","United Kingdom","01449 711642","Recognised","2023-05-10 00:00:00.0000000",,"Never been recognised",,
"RN5191","Mountain Training England","Mountain Training England","MTE","cath@mountain-training.org","http://www.mountain-training.org","Siabod Cottage",,"Capel Curig","Conwy","LL24 0ES","United Kingdom","01690 720314","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2017-06-08 00:00:00.0000000"
"RN6100","Besafe Training Limited","Besafe Training Limited","Besafe Training Limited","chris.morton@besafe-training.co.uk","www.besafe-training.co.uk","Bizspace Ltd,",,"Design Works,","Gateshead","NE10 0JP","United Kingdom","07808761056","Recognised","2022-12-31 00:00:00.0000000",,"Never been recognised",,
"RN6086","IPP Education","IPP Education Ltd","IPPE","epa@ippeducation.co.uk","www.ippeducation.co.uk","Goldfinger House","245 Cranmore Boulevard","Shirley","Solihull","B90 4ZL","United Kingdom","0121 712 1000","Recognised","2022-06-01 00:00:00.0000000",,"Never been recognised",,
"RN5127","Chartered Institute of Marketing","Chartered Institute of Marketing","CIM","education@cim.co.uk","http://www.cim.co.uk","The Chartered Institute of Marketing","Moor Hall","Cookham","Berkshire","SL6 9QH","United Kingdom","01628 427500","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5359","VetSkill","VetSkill Limited","VetSkill","admin@vetskill.com","http://www.vetskill.com","10 Ramsay Court","Hinchingbrooke Business Park",,"Huntingdon","PE29 6FY","United Kingdom","01480 278580","Recognised","2015-03-31 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5360","Occupational Awards Limited","Occupational Awards Limited","OAL","info@oawards.co.uk","http://www.oawards.co.uk","The Catalyst","Baird Lane","Heslington","York","YO10 5GA","United Kingdom","01904 236 483","Recognised","2015-05-21 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2016-12-16 00:00:00.0000000"
"RN6096","A2A Training Ltd","A2A Training Limited ","A2A Training and EPA","Info@a2atraining.co.uk","https://www.a2atraining.co.uk/epa","13 Stourdale Road ","Cradley Heath ",,"Halesowen","B64 7BG","United Kingdom","01212945153","Recognised","2022-08-25 00:00:00.0000000",,"Never been recognised",,
"RN5248","Chartered Institute of Environmental Health","Chartered Institute of Environmental Health","CIEH","training@cieh.org","http://www.cieh.org/training","Chadwick Court","15 Hatfields","London","London","SE1 8DJ","United Kingdom","0207 827 5800","Surrendered","2010-04-01 00:00:00.0000000","2017-08-18 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2016-08-31 00:00:00.0000000"
"RN5141","Institute of British Sign Language","Institute of British Sign Language Community Interest Company","IBSL","michellejones@ibsl.org.uk","http://ibsl.org.uk","iBSL, Ground Floor, Office 8","Strawberry Fields Digital Hub","Euxton Lane","Chorley","PR7 1PS","United Kingdom","01257 221 326","Surrendered","2010-04-01 00:00:00.0000000","2023-04-18 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2023-04-18 00:00:00.0000000"
"RN5294","CITB-Construction Skills","CITB-Construction Skills","CITB-Construction Skills","","http://www.ofqual.gov.uk/","12 St. Peters Road","Peterborough","","","NW1 0JF","United Kingdom","0131 465 2892","Withdrawn","2010-10-20 00:00:00.0000000","2010-10-21 00:00:00.0000000","Never been recognised",,
"RN5246","Accounting Technicians Ireland","The Institute of Accounting Technicians in Ireland Limited","Accounting Technicians Ireland","info@AccountingTechniciansIreland.ie","http://www.accountingtechniciansireland.ie/","47-49 Pearse Street",,"Dublin",,"D2","Ireland","+353 (0) 1649 8100","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5340","Logic Certification Limited","Logic Certification Limited","LCL Awards","enquiries@lclawards.co.uk","http://www.LCLawards.co.uk","Unit 1, Belvue Business Centre","Belvue Road","Northolt","Middlesex","UB5 5QQ","United Kingdom","020 8839 2439","Recognised","2011-05-12 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6023","Rambert Creative Contemporary Dance Grades","RAMBERT CREATIVE CONTEMPORARY DANCE GRADES LTD ","Rambert Grades","libby.costello@rambertgrades.com","www.rambertgrades.com","Clifton Lodge","St Margarets Drive ","Twickenham ","London","TW1 1QN ","United Kingdom","02088929960","Recognised","2020-03-04 00:00:00.0000000",,"Never been recognised",,
"RN5150","The Institute of Tourist Guiding","The Institute of Tourist Guiding","ITG","office@itg.org.uk","www.itg.org.uk","307a Coppergate House","16 Brune Street","London",,"E1 7NJ","United Kingdom","020 7953 8397","Surrendered","2010-04-01 00:00:00.0000000","2013-12-05 00:00:00.0000000","Never been recognised",,
"RN5156","NCFE","NCFE","NCFE","compliance@ncfe.org.uk","http://www.ncfe.org.uk","Q6, Quorum Business Park","Benton Lane","Newcastle upon Tyne","Tyne and Wear","NE12 8BT","United Kingdom","0191 239 8000","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5358","Crossfields Institute","Crossfields Institute","CFI","info@crossfieldsinstitute.com","http://www.crossfieldsinstitute.com","Stroud House","Russell Street","Stroud","Gloucestershire","GL5 3AN","United Kingdom","01453 808118","Recognised","2015-01-16 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2018-02-01 00:00:00.0000000"
"RN6025","Awarding UK (Part of Bishop Grosseteste University)","Bishop Grosseteste University","Awarding UK","robert.boast@bishopg.ac.uk","http://www.awardinguk.com","Longdales Road","Lincoln",,"Lincolnshire","LN1 3DY","United Kingdom","01522563839","Surrendered","2020-10-21 00:00:00.0000000","2022-07-15 00:00:00.0000000","Never been recognised",,
"RN5273","The Learning Machine","The Learning Machine Ltd","TLM","support@tlm.org.uk","http://www.tlm.org.uk","LMAT building","257a High Road","Loughton","Essex","IG10 1AD","United Kingdom","01827 305940","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2020-01-30 00:00:00.0000000"
"RN6002","telc – language tests","telc gGmbH","telc","info@telc.net","https://www.telc.net/language-exams-uk","Basler Strasse 7","Bad Homburg",,"am Main","61352","Germany","+49 (0)617238820 22","Recognised","2018-07-30 00:00:00.0000000",,"Never been recognised",,
"RN5344","ATHE Ltd","ATHE Ltd","ATHE","info@athe.co.uk","http://www.athe.co.uk","Suite 4B","Rosebery Court","St Andrew's Business Park","Norwich","NR7 0HS","United Kingdom","01603 760030 ","Recognised","2011-06-03 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2016-09-30 00:00:00.0000000"
"RN5171","WAMITAB","Waste Management Industry Training & Advisory Board","WAMITAB","info.admin@wamitab.org.uk","http://www.wamitab.org.uk/","Quadra","500 Pavillion Drive","Northampton Business Park","Northants","NN4 7YJ","United Kingdom","01604 231950","Surrendered","2010-04-01 00:00:00.0000000","2021-12-20 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2021-12-20 00:00:00.0000000"
"RN5242","The Gemmological Association of Great Britain","The Gemmological Association of Great Britain","Gem-A","info@gem-a.com","http://www.gem-a.com","21 Ely Place",,"London",,"EC1N 6TD","United Kingdom","+44 (0) 20 7404 3334","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered",,"2016-04-18 00:00:00.0000000"
"RN5112","Skills and Education Group Awards","Skills and Education Group Awards","SEG Awards","enquiries@skillsedugroup.co.uk","http://www.skillsandeducationgroupawards.co.uk","Robins Wood House, Robins Wood Rd, ","Aspley","Nottingham","Notts","NG8 3NH","United Kingdom","0115 854 1630","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5272","Association of British Dispensing Opticians","The Association of British Dispensing Opticians","ABDO","mchandler@abdo.org.uk","http://www.abdo.org.uk","The Old Dairy","Godmersham Park","Godmersham","Kent","CT4 7DT","United Kingdom","01227 732920","Recognised","2010-04-01 00:00:00.0000000",,"Never been recognised",,
"RN5164","Register of Play Inspectors International","Register of Play Inspectors International Limited","RPII","rpii@playinspectors.com","www.playinspectors.com","1b Bagshaw Close","Ryton on Dunsmore",,"Warwickshire","CV8 3EX","United Kingdom","02476 693787","Surrendered","2010-04-01 00:00:00.0000000","2014-10-31 00:00:00.0000000","Never been recognised",,
"RN6037","LifeSkills Solutions Ltd","Lifeskills Solutions Ltd","LifeSkills Solutions Ltd","emma.wilkinson@learnaliving.co.uk","info@learnaliving.co.uk","Ground Floor, Enterprise House","Bridge Street",,"Rotherham","S60 1QJ","United Kingdom","01709 828586","Withdrawn","2021-08-16 00:00:00.0000000","2023-03-30 00:00:00.0000000","Never been recognised",,
"RN6040","IOSH","Institution of Occupational Safety and Health","IOSH","csc@iosh.com","www.iosh.com","The Grange","Highfield Drive","Wigston","Leicestershire","LE18 1NN","United Kingdom","0116 2573100","Recognised","2021-09-20 00:00:00.0000000",,"Never been recognised",,
"RN6044","Notebook Assessment Services Ltd","Notebook Assessment Services Ltd","NAS","admin@notebook-epa.co.uk","www.notebook-epa.co.uk","Unit 1a, Sunrise Business Park","Higher Shaftesbury Rd",,"Blandford Forum ","DT11 8ST","United Kingdom","01258457091","Recognised","2021-12-30 00:00:00.0000000",,"Never been recognised",,
"RN5201","Accredited Skills for Industry","Accredited Skills for Industry","ASFI","info@asfi.org.uk","http://www.asfi.org.uk","Wisemore Campus","Littleton Street West","Walsall",,"WS2 8ES","United Kingdom","01922 657054","Surrendered","2010-04-01 00:00:00.0000000","2016-10-31 00:00:00.0000000","Never been recognised",,
"RN5183","Worshipful Company of Spectacle Makers","Worshipful Company of Spectacle Makers","WCSM","administrator@spectaclemakers.com","http://www.spectaclemakers.com","Apothecaries' Hall","Black Friars Lane",,"London","EC4V 6EL","United Kingdom","020 7236 2932","Surrendered","2010-04-01 00:00:00.0000000","2021-09-01 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2019-03-29 00:00:00.0000000"
"RN5186","Agored Cymru","Agored Cymru","Agored Cymru","enquiries@agored.cymru","http://www.agored.cymru","4  Llys Onnen","Parc Menai","Bangor","Gwynedd","LL57 4DF","United Kingdom","01248 670011","Recognised","2019-03-15 00:00:00.0000000",,"Never been recognised",,
"RN5132","Engineering Construction Industry Training Board","Engineering Construction Industry Training Board","ECITB","qualifications@ecitb.org.uk","http://www.ecitb.org.uk","Office F15, Kings House Business Centre","Home Park Estate","Station Road","Kings Langley","WD4 8LZ","United Kingdom","01923 260000","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2016-11-04 00:00:00.0000000"
"RN5277","ABMA Education Ltd","ABMA Education Ltd","ABMA","RITS@abma.uk.com","http://www.abma.uk.com","7 Queens Square","Lyndhurst Road","Ascot","Berkshire","SL5 9FE","United Kingdom","0208 733 7000","Recognised","2010-04-01 00:00:00.0000000",,"Never been recognised",,
"RN5275","British Institute of Cleaning Science","The British Institute of Cleaning Science Limited","BICSc","info@bics.org.uk","www.bics.org.uk","9 Premier Court, Boarden Close","Moulton Park","Northampton","Northamptonshire","NN3 6LF","United Kingdom","01604 678710","Surrendered","2010-04-01 00:00:00.0000000","2014-11-18 00:00:00.0000000","Never been recognised",,
"RN5264","Chartered Institute of Credit Management","Chartered Institute of Credit Management","CICM","awardingbody@cicm.com","http://www.cicm.com","1 Accent Park","Bakewell Road","Orton Southgate","Peterborough","PE2 6XS","United Kingdom","01780 722 900 ","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6075","Explosive Learning Solutions (ELS) Ltd","Explosive Learning Solutions","ELS","epaenquiries@explosivelearningsolutions.com","elsbusinesstraining.co.uk","Unit 4, Library Avenue","The Terraces","Harwell Science and Innovation Campus","Didcot","OX110SG","United Kingdom","01235861805","Recognised","2022-03-31 00:00:00.0000000",,"Never been recognised",,
"RN6065","SIAS","Science Industry Assessment Service Limited","SIAS","info@siasuk.com","www.siasuk.com","1st Floor, 720 Mandarin Court",,"Centre Park","Warrington","WA1 1GG","United Kingdom","01925 515 211","Recognised","2022-01-31 00:00:00.0000000",,"Never been recognised",,
"RN5328","Gateway Qualifications Limited","Gateway Qualifications Limited","Gateway Qualifications","enquiries@gatewayqualifications.org.uk","http://www.gatewayqualifications.org.uk","Gateway House","6 Tollgate Business Park","COLCHESTER","Essex","CO3 8AB","United Kingdom","01206 911211","Recognised","2011-02-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2018-08-30 00:00:00.0000000"
"RN6056","Institute of Cast Metals Engineers","Institute of Cast Metals Engineers","ICME","epainfo@icme.org.uk","https://www.icme.org.uk/","Ecms","National Foundry Training Centre","Tipton Rd","Tipton","DY4 7UW","United Kingdom","0121 752 1810","Recognised","2021-12-30 00:00:00.0000000",,"Never been recognised",,
"RN5289","Open Awards","Open Awards","Open Awards","info@openawards.org.uk","http://www.openawards.org.uk","17 DeHavilland Drive","Estuary Commerce Park","Speke","Liverpool","L24 8RN","United Kingdom","0151 494 2072","Recognised","2010-09-29 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2017-01-31 00:00:00.0000000"
"RN6061","Advance HE","Advance HE","Advance HE","endpointassessment@advance-he.ac.uk","https://www.advance-he.ac.uk/","Innovation Way","York Science Park","Heslington","York","YO10 5BR","United Kingdom","01904 717500","Recognised","2021-12-30 00:00:00.0000000",,"Never been recognised",,
"RN6122","United Centre of Excellence Limited","United Centre of Excellence Limited","UCE","Alan.bates@uce.org.uk","https://www.uce.org.uk/","19","St Christophers Way,","Pride Park,","Derby","DE24 8JY","United Kingdom","01332 417755","Recognised","2023-08-23 00:00:00.0000000",,"Never been recognised",,
"RN5211","Worshipful Company of Farriers","Farriery Examinations Limited","WCF","master@wcf.org.uk","http://www.wcf.org.uk","The Worshipful Company of Farriers","Magnesia House","6 Playhouse Yard","London","EC4V 5EX","United Kingdom","02034100720","Recognised","2010-04-01 00:00:00.0000000",,"Never been recognised",,
"RN6006","DSW Consulting","Doran Scott Williams and Co Ltd","DSW","dp@dsw.uk.net","https://www.dswconsulting.co.uk/","DSW House, Unit 3","Hayfield Business Park, Field Lane","Auckley","Doncaster","DN9 3FL","United Kingdom","01302 760008","Recognised","2018-12-10 00:00:00.0000000",,"Never been recognised",,
"RN6094","British Allied Trades Federation","British Allied Trades Federation","BATF","enquiries@batf.uk.com","www.batf.uk.com","Federation House","10, Vyse Street",,"Birmingham","B18 6LT","United Kingdom","0121 2362657","Recognised","2022-08-09 00:00:00.0000000",,"Never been recognised",,
"RN6103","Chartered Institution of Railway Operators","Chartered Institution of Railway Operators","CIRO","fiona@railwayoperators.co.uk","www.ciro.org","Beacon Building 2nd Floor, ","Stafford Enterprise Park West, ","Weston Rd, ","Stafford, ","ST18 0BF","United Kingdom","07989 436546","Recognised","2022-12-31 00:00:00.0000000",,"Never been recognised",,
"RN5349","FPSB UK Ltd","FPSB UK Ltd","FPSB UK","lucy@financialplanning.org.uk","www.financialplanning.org.uk","One Redcliff Street",,"Bristol",,"BS1 6NP","United Kingdom","0844 8733325","Surrendered","2011-08-15 00:00:00.0000000","2015-11-17 00:00:00.0000000","Never been recognised",,
"RN6124","The British Institute of Non-Destructive Testing","The British Institute of Non-Destructive Testing","BINDT","info@bindt.org","www.bindt.org","Midsummer House","Riverside Way","Bedford Road","Northampton","NN1 5NX","United Kingdom","01604 438300","Recognised","2023-09-25 00:00:00.0000000",,"Never been recognised",,
"RN5221","ABE","ABE Global Ltd","ABE","info@abeuk.com","http://www.abeuk.com","New Malden Business Centre","46/50 Coombe Road","New Malden","Surrey","KT3 4QF","United Kingdom","0208 329 2930","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2019-09-23 00:00:00.0000000"
"RN5318","IMI Awards Ltd","IMI Awards Ltd","IMIAL","qualsdevelopment@theimi.org.uk","www.imiawards.org.uk","'Fanshaws'","Brickendon","Hertford","Hertfordshire","SG13 8PQ","United Kingdom","01992 511521","Surrendered","2010-10-21 00:00:00.0000000","2016-02-25 00:00:00.0000000","Never been recognised",,
